timestamp,no
2016-01-21 18:26:07,12
2016-01-21 18:26:29,"3,7"
2016-01-21 18:26:51,7
2016-01-21 18:27:13,"5,8"
2016-01-21 18:27:35,"4,2"
2016-01-21 18:27:58,"6,2"
2016-01-21 18:28:20,"9,2"
2016-01-21 18:28:43,"3,1"
2016-01-21 18:29:05,"3,2"
2016-01-21 18:29:28,"2,8"
2016-01-21 18:29:50,"4,8"
2016-01-21 18:30:12,6
2016-01-21 18:30:34,"4,5"
2016-01-21 18:30:56,"5,7"
2016-01-21 18:31:19,"9,8"
2016-01-21 18:31:41,"5,3"
2016-01-21 18:32:04,"4,3"
2016-01-21 18:32:26,"6,9"
2016-01-21 18:32:48,"5,2"
2016-01-21 18:33:11,"4,7"
2016-01-21 18:33:33,"2,5"
2016-01-21 18:33:55,"5,9"
2016-01-21 18:34:17,"2,2"
2016-01-21 18:34:40,"5,5"
2016-01-21 18:35:02,"2,2"
2016-01-21 18:35:24,"2,7"
2016-01-21 18:35:46,"2,3"
2016-01-21 18:36:08,"1,9"
2016-01-21 18:36:31,"3,3"
2016-01-21 18:36:53,"3,7"
2016-01-21 18:37:16,"2,9"
2016-01-21 18:37:38,"3,5"
2016-01-21 18:38:00,"1,4"
2016-01-21 18:38:22,"3,7"
2016-01-21 18:38:44,9
2016-01-21 18:39:07,"12,3"
2016-01-21 18:39:29,"3,2"
2016-01-21 18:39:52,"3,8"
2016-01-21 18:40:14,"7,3"
2016-01-21 18:40:37,"7,3"
2016-01-21 18:40:59,"2,8"
2016-01-21 18:41:21,"1,6"
2016-01-21 18:41:43,"2,1"
2016-01-21 18:42:05,"4,9"
2016-01-21 18:42:28,"5,6"
2016-01-21 18:42:50,"3,2"
2016-01-21 18:43:12,"6,2"
2016-01-21 18:43:34,3
2016-01-21 18:43:56,"4,6"
2016-01-21 18:44:19,"2,9"
2016-01-21 18:44:41,"4,7"
2016-01-21 18:45:04,"2,3"
2016-01-21 18:45:26,"1,6"
2016-01-21 18:45:48,"1,2"
2016-01-21 18:46:10,"0,8"
2016-01-21 18:46:32,"1,7"
2016-01-21 18:46:54,"1,3"
2016-01-21 18:47:17,"0,4"
2016-01-21 18:47:39,"1,2"
2016-01-21 18:48:02,"1,4"
2016-01-21 18:48:24,"0,9"
2016-01-21 18:48:46,"2,7"
2016-01-21 18:49:08,"3,1"
2016-01-21 18:49:31,"16,9"
2016-01-21 18:49:53,"3,7"
2016-01-21 18:50:15,"2,1"
2016-01-21 18:50:37,"3,1"
2016-01-21 18:50:59,"4,7"
2016-01-21 18:51:21,"2,8"
2016-01-21 18:51:44,"2,8"
2016-01-21 18:52:06,"4,1"
2016-01-21 18:52:28,"5,5"
2016-01-21 18:52:50,"2,6"
2016-01-21 18:53:13,"3,9"
2016-01-21 18:53:35,"1,4"
2016-01-21 18:53:57,13
2016-01-21 18:54:19,"3,6"
2016-01-21 18:54:41,2
2016-01-21 18:55:03,"3,6"
2016-01-21 18:55:26,"1,4"
2016-01-21 18:55:49,"3,7"
2016-01-21 18:56:11,"3,1"
2016-01-21 18:56:33,"2,4"
2016-01-21 18:56:55,"5,5"
2016-01-21 18:57:17,"3,6"
2016-01-21 18:57:39,"1,4"
2016-01-21 18:58:02,"0,7"
2016-01-21 18:58:24,"1,3"
2016-01-21 18:58:46,"1,5"
2016-01-21 18:59:08,8
2016-01-21 18:59:31,"12,7"
2016-01-21 18:59:53,"6,9"
2016-01-21 19:00:15,"7,4"
2016-01-21 19:00:37,"1,8"
2016-01-21 19:00:59,"2,3"
2016-01-21 19:01:22,"2,7"
2016-01-21 19:01:44,"2,7"
2016-01-21 19:02:07,"3,6"
2016-01-21 19:02:29,"5,1"
2016-01-21 19:02:52,"1,6"
2016-01-21 19:03:14,"1,2"
2016-01-21 19:03:36,"2,3"
2016-01-21 19:03:58,"3,3"
2016-01-21 19:04:21,"1,6"
2016-01-21 19:04:43,"1,8"
2016-01-21 19:05:06,"1,5"
2016-01-21 19:05:28,"2,1"
2016-01-21 19:05:50,"2,9"
2016-01-21 19:06:12,"1,9"
2016-01-21 19:06:35,"2,5"
2016-01-21 19:06:57,"2,4"
2016-01-21 19:07:19,"1,8"
2016-01-21 19:07:41,"1,3"
2016-01-21 19:08:03,"1,9"
2016-01-21 19:08:25,"0,7"
2016-01-21 19:08:48,"3,3"
2016-01-21 19:09:11,"3,1"
2016-01-21 19:09:33,"5,3"
2016-01-21 19:09:55,"1,9"
2016-01-21 19:10:18,"1,9"
2016-01-21 19:10:41,"1,3"
2016-01-21 19:11:03,1
2016-01-21 19:11:25,"0,5"
2016-01-21 19:11:48,"0,8"
2016-01-21 19:12:10,"2,8"
2016-01-21 19:12:32,"3,8"
2016-01-21 19:12:55,1
2016-01-21 19:13:17,"2,1"
2016-01-21 19:13:39,"0,9"
2016-01-21 19:14:02,"1,2"
2016-01-21 19:14:24,1
2016-01-21 19:14:46,"1,3"
2016-01-21 19:15:08,"3,1"
2016-01-21 19:15:30,"4,4"
2016-01-21 19:15:53,"7,4"
2016-01-21 19:16:15,"4,3"
2016-01-21 19:16:37,"5,6"
2016-01-21 19:16:59,"3,7"
2016-01-21 19:17:21,"2,4"
2016-01-21 19:17:44,"5,8"
2016-01-21 19:18:06,"2,9"
2016-01-21 19:18:28,"8,5"
2016-01-21 19:18:50,"4,5"
2016-01-21 19:19:13,2
2016-01-21 19:19:35,"3,1"
2016-01-21 19:19:57,"4,3"
2016-01-21 19:20:19,"3,8"
2016-01-21 19:20:42,"4,6"
2016-01-21 19:21:04,"4,6"
2016-01-21 19:21:27,"5,1"
2016-01-21 19:21:49,"6,3"
2016-01-21 19:22:11,3
2016-01-21 19:22:33,"3,9"
2016-01-21 19:22:55,2
2016-01-21 19:23:17,"2,8"
2016-01-21 19:23:40,"2,9"
2016-01-21 19:24:02,"1,8"
2016-01-21 19:24:24,"2,6"
2016-01-21 19:24:46,"2,7"
2016-01-21 19:25:09,"3,1"
2016-01-21 19:25:31,"2,7"
2016-01-21 19:25:54,"1,7"
2016-01-21 19:26:16,"5,1"
2016-01-21 19:26:38,"6,7"
2016-01-21 19:27:00,"2,4"
2016-01-21 19:27:22,"3,7"
2016-01-21 19:27:44,"2,3"
2016-01-21 19:28:07,"2,1"
2016-01-21 19:28:29,2
2016-01-21 19:28:52,"2,3"
2016-01-21 19:29:14,"1,6"
2016-01-21 19:29:36,"2,5"
2016-01-21 19:29:58,"3,1"
2016-01-21 19:30:21,2
2016-01-21 19:30:43,"1,7"
2016-01-21 19:31:06,"1,9"
2016-01-21 19:31:28,"6,9"
2016-01-21 19:31:50,"3,8"
2016-01-21 19:32:13,"2,5"
2016-01-21 19:32:35,"2,6"
2016-01-21 19:32:58,"1,9"
2016-01-21 19:33:20,3
2016-01-21 19:33:42,"1,4"
2016-01-21 19:34:04,"1,7"
2016-01-21 19:34:27,"1,6"
2016-01-21 19:34:49,"1,3"
2016-01-21 19:35:11,"4,1"
2016-01-21 19:35:34,"1,8"
2016-01-21 19:35:56,"2,8"
2016-01-21 19:36:19,2
2016-01-21 19:36:41,"1,4"
2016-01-21 19:37:03,2
2016-01-21 19:37:26,"2,1"
2016-01-21 19:37:48,"1,4"
2016-01-21 19:38:10,"3,6"
2016-01-21 19:38:32,"2,8"
2016-01-21 19:38:54,"2,8"
2016-01-21 19:39:17,"3,6"
2016-01-21 19:39:39,"4,1"
2016-01-21 19:40:02,"2,7"
2016-01-21 19:40:24,"4,5"
2016-01-21 19:40:46,"2,2"
2016-01-21 19:41:08,"1,3"
2016-01-21 19:41:31,"3,8"
2016-01-21 19:41:53,"0,8"
2016-01-21 19:42:15,"1,5"
2016-01-21 19:42:37,"1,8"
2016-01-21 19:42:59,"1,3"
2016-01-21 19:43:21,"1,5"
2016-01-21 19:43:44,"1,7"
2016-01-21 19:44:07,"7,7"
2016-01-21 19:44:29,"2,4"
2016-01-21 19:44:51,"1,9"
2016-01-21 19:45:13,"2,6"
2016-01-21 19:45:35,"0,9"
2016-01-21 19:45:57,"0,5"
2016-01-21 19:46:20,"0,6"
2016-01-21 19:46:42,"0,9"
2016-01-21 19:47:05,1
2016-01-21 19:47:28,2
2016-01-21 19:47:50,"1,7"
2016-01-21 19:48:12,"2,3"
2016-01-21 19:48:34,"4,2"
2016-01-21 19:48:56,"4,8"
2016-01-21 19:49:18,"3,5"
2016-01-21 19:49:41,2
2016-01-21 19:50:03,"2,8"
2016-01-21 19:50:25,"2,5"
2016-01-21 19:50:47,"1,7"
2016-01-21 19:51:10,"1,1"
2016-01-21 19:51:32,"1,1"
2016-01-21 19:51:54,"1,7"
2016-01-21 19:52:17,"3,6"
2016-01-21 19:52:39,"1,5"
2016-01-21 19:53:01,"2,6"
2016-01-21 19:53:23,"10,3"
